year,permno,ticker,comnam,age,div12m_me,ffo_at_reit,beta,lnmcap,ret12,ret
2004,10952,UNII,UNI INVEST U S LTD,228.0,0.03129503,0.0033988292164402,-0.239846081036535,12.241140173967914,0.228164201465687,0.228164201465687
2005,10952,UNII,UNI INVEST U S LTD,240.0,0.053209413,0.0117872116092909,-0.4937739627874644,12.645661705401563,0.048434005636551,0.048434005636551
2006,10952,UNII,UNI INVEST U S LTD,252.0,0.05007207,0.0101221263677712,-0.5025200281396867,13.129317674603216,0.1970436294143565,0.1970436294143565
2007,10952,UNII,UNI INVEST U S LTD,264.0,0.05871163,0.0110583323013954,0.2034118971320798,13.328322325056282,-0.3145746750676661,-0.3145746750676661
2008,10952,UNII,UNI INVEST U S LTD,276.0,0.08955259,0.0092258019921612,0.4822872383171342,13.05764910868838,-0.2340765422407817,-0.2340765422407817
2009,10952,UNII,UNI INVEST U S LTD,288.0,0.12623565,0.008539258164159,1.6496297190214182,12.34221976140603,-0.0036980024768631,-0.0036980024768631
2010,10952,UNII,UNI INVEST U S LTD,300.0,0.029940752,0.0021523143617542,1.8691746588784268,12.928526088314715,-0.0335323095827642,-0.0335323095827642
2011,10952,UNII,UNI INVEST U S LTD,312.0,0.07721289,0.0060514303673573,1.8754466438753008,12.657955625694685,-0.2560579062778924,-0.2560579062778924
2012,10952,UNII,UNI INVEST U S LTD,324.0,0.052593887,0.0039445615112343,1.8658836036213309,12.792575906406483,0.2736844971144605,0.2736844971144605
2013,10952,UNII,UNI INVEST U S LTD,336.0,0.035222113,0.0049743059239375,1.987756471174185,12.920343919454902,0.2292545021570127,0.2292545021570127
2014,10952,UNII,UNI INVEST U S LTD,348.0,0.03019406,0.0084118586856663,1.6357771880150054,13.130125643850084,0.2097732461163857,0.2097732461163857
2015,10952,UNII,UNI INVEST U S LTD,360.0,0.027982377,0.0081995538500652,1.2535901809273864,13.288611817021824,-0.0072985067943156,-0.0072985067943156
2016,10952,UNII,UNI INVEST U S LTD,372.0,0.028587893,0.0081447374776244,1.0002998182767555,13.294356805035148,-0.0505594406727082,-0.0505594406727082
2017,10952,UNII,UNI INVEST U S LTD,384.0,0.035816938,0.0087596369783917,0.6206970167128376,13.082457936239392,-0.0342416545165283,-0.0342416545165283
2018,10952,UNII,UNI INVEST U S LTD,396.0,0.048461597,0.0073959584443681,0.7963831546648362,12.84476115898128,-0.4576714311245946,-0.4576714311245946
2019,10952,UNII,UNI INVEST U S LTD,408.0,0.06818954,0.0095818327243468,0.9193032886884988,12.491427841967914,0.0088899905873185,0.0088899905873185
2020,10952,UNII,UNI INVEST U S LTD,420.0,0.092522584,0.010218696247885,1.3060417423645962,11.913202683188764,0.6406578049645946,0.6406578049645946
2021,10952,UNII,UNI INVEST U S LTD,432.0,0.017859787,0.0067285052147313,1.6975836148500327,12.36047703065092,1.0233536316810323,1.0233536316810323
2022,10952,UNII,UNI INVEST U S LTD,439.0,0.008881188,0.0078108076014056,1.571258461240299,12.809556845721646,0.1605079740790596,0.1605079740790596
2004,12072,PKY,PARKWAY PROPERTIES INC,372.0,0.05465713,0.016159242975526,0.2229774407794923,13.143777814559783,0.2886752658422777,0.2886752658422777
2005,12072,PKY,PARKWAY PROPERTIES INC,384.0,0.049801905,0.0132116093314223,0.2698859031450569,13.397254717369734,-0.163083857233442,-0.163083857233442
2006,12072,PKY,PARKWAY PROPERTIES INC,396.0,0.05684283,0.009652421919165,0.4086858575551773,13.3866993801892,0.343287171677519,0.343287171677519
2007,12072,PKY,PARKWAY PROPERTIES INC,408.0,0.05441464,0.0093640575636823,0.5225311769072035,13.507062565192408,-0.2316874856438437,-0.2316874856438437
2008,12072,PKY,PARKWAY PROPERTIES INC,420.0,0.09338107,0.0096129841818355,0.8115365673648248,13.029625097561643,-0.4772343218016395,-0.4772343218016395
2009,12072,PKY,PARKWAY PROPERTIES INC,432.0,0.10259059,0.0084122310628382,1.3357759244468166,12.612764411989676,0.2627368077438021,0.2627368077438021
2010,12072,PKY,PARKWAY PROPERTIES INC,444.0,0.048513647,0.0093230143456884,1.4058516918724095,12.805330835893905,-0.1429497704230178,-0.1429497704230178
2011,12072,PKY,PARKWAY PROPERTIES INC,456.0,0.021109508,0.0076112340450651,1.4685939817256488,12.674829669833606,-0.4239350682825686,-0.4239350682825686
2012,12072,PKY,PARKWAY PROPERTIES INC,468.0,0.02343885,0.0066050427342622,1.4561773759105467,12.765281847567772,0.4620513737088025,0.4620513737088025
2013,12072,PKY,PARKWAY PROPERTIES INC,480.0,0.02385562,0.0012982983967106,1.5090110866229711,13.983254795107229,0.4279594833366029,0.4279594833366029
2014,12072,PKY,PARKWAY PROPERTIES INC,492.0,0.03133749,0.0076139590899011,1.4205114533778342,14.499523783350758,-0.0083766963349296,-0.0083766963349296
2015,12072,PKY,PARKWAY PROPERTIES INC,504.0,0.043599457,0.0107714596979656,1.2775721146949588,14.448022032763104,-0.1105681072428034,-0.1105681072428034
2016,12072,PKY,PARKWAY PROPERTIES INC,513.0,0.047987998,0.0107666660048045,1.3268026865122122,14.401724437476162,0.1253398171271234,0.1253398171271234
2010,12093,COR,CORESITE REALTY CORP,48.0,,,,12.517914767293682,-0.159854949352,-0.159854949352
2011,12093,COR,CORESITE REALTY CORP,60.0,0.029520059,0.0111133062484778,,12.675518936289931,0.3531889715556502,0.3531889715556502
2012,12093,COR,CORESITE REALTY CORP,72.0,0.026269881,0.0191163922288796,0.957172097452898,13.150405445275,0.6005857903797203,0.6005857903797203
2013,12093,COR,CORESITE REALTY CORP,84.0,0.029657518,0.022729865944462,0.9778160749161682,13.45389626589943,0.2052156332614561,0.2052156332614561
2014,12093,COR,CORESITE REALTY CORP,96.0,0.03871862,0.0226758085493204,0.9959242088228942,13.489040271684194,0.2664683811132857,0.2664683811132857
2015,12093,COR,CORESITE REALTY CORP,108.0,0.029057717,0.0280422386912794,0.9330291983549333,14.056519873534112,0.504738434231824,0.504738434231824
2016,12093,COR,CORESITE REALTY CORP,120.0,0.024768062,0.0336478211376197,0.6873191699095825,14.692386473311911,0.4430011873256032,0.4430011873256032
2017,12093,COR,CORESITE REALTY CORP,132.0,0.028021282,0.0355646611420893,0.306625369226264,15.079370608784911,0.4847752469186062,0.4847752469186062
2018,12093,COR,CORESITE REALTY CORP,144.0,0.036859933,0.0372207443472821,0.2602588022142084,15.097494852597483,-0.2022894655259621,-0.2022894655259621
2019,12093,COR,CORESITE REALTY CORP,156.0,0.03886062,0.0329125483222012,0.4832953448586772,15.228142584185312,0.3397485442091561,0.3397485442091561
2020,12093,COR,CORESITE REALTY CORP,168.0,0.03837133,0.0299640247419654,0.1720229704145363,15.3901221327109,0.1635295214906644,0.1635295214906644
2021,12093,COR,CORESITE REALTY CORP,179.0,0.035685644,0.0300643196092718,0.1477053006914244,15.582354562203568,0.4050460038052663,0.4050460038052663
2010,12323,CCG,CAMPUS CREST COMMUNITIES INC,36.0,,,,12.872898804882585,0.1317727199999998,0.1317727199999998
2011,12323,CCG,CAMPUS CREST COMMUNITIES INC,48.0,0.054079384,-0.0002945480264007,,12.805682295147074,-0.2411180464424769,-0.2411180464424769
2012,12323,CCG,CAMPUS CREST COMMUNITIES INC,60.0,0.054931927,0.0113268588663465,0.692299393935829,12.868709244516182,0.2896325520742779,0.2896325520742779
2013,12323,CCG,CAMPUS CREST COMMUNITIES INC,72.0,0.048013214,0.0097880192774148,0.6507056573199573,13.423525115937364,-0.1861437623668602,-0.1861437623668602
2014,12323,CCG,CAMPUS CREST COMMUNITIES INC,84.0,0.08250102,0.0101134045855564,0.6344819242048448,13.14919218567078,-0.1623657241747753,-0.1623657241747753
2015,12323,CCG,CAMPUS CREST COMMUNITIES INC,96.0,0.045222525,-0.0154107613556325,0.777965396698853,12.912981029050044,-0.0698151855140899,-0.0698151855140899
2016,12323,CCG,CAMPUS CREST COMMUNITIES INC,98.0,0.0,0.0044795734218684,0.6832470667852802,13.01784524476428,0.0278777599999999,0.0278777599999999
2011,12513,AAT,AMERICAN ASSETS TRUST INC,48.0,0.03376924,0.0060758604329729,,13.603923120201086,0.0018402420026519,0.0018402420026519
2012,12513,AAT,AMERICAN ASSETS TRUST INC,60.0,0.033624325,0.0095829930194387,0.8927069848305743,13.792111079603016,0.4077329253668826,0.4077329253668826
2013,12513,AAT,AMERICAN ASSETS TRUST INC,72.0,0.026568174,0.0112804738017702,0.8567821791853513,14.042910153949656,0.1561670645243456,0.1561670645243456
2014,12513,AAT,AMERICAN ASSETS TRUST INC,84.0,0.024006458,0.0122467004548431,0.8016993504312785,14.20646679581998,0.2989916060389359,0.2989916060389359
2015,12513,AAT,AMERICAN ASSETS TRUST INC,96.0,0.022017656,0.0130714326607987,0.6444247466611923,14.405557441653912,-0.0136625398316404,-0.0136625398316404
2016,12513,AAT,AMERICAN ASSETS TRUST INC,108.0,0.02371292,0.0141141827349063,0.5583784671872024,14.437648148386728,0.1506461319929297,0.1506461319929297
2017,12513,AAT,AMERICAN ASSETS TRUST INC,120.0,0.024957946,0.0145374897611468,0.4257151401204642,14.458689833710883,-0.0886592713254083,-0.0886592713254083
2018,12513,AAT,AMERICAN ASSETS TRUST INC,132.0,0.02899006,0.0143205577800708,0.4022598885561434,14.37001732658458,0.0817303613329007,0.0817303613329007
2019,12513,AAT,AMERICAN ASSETS TRUST INC,144.0,0.022318572,0.015632933770906,0.3536731466030677,14.733040641718654,0.1710117293071131,0.1710117293071131
2020,12513,AAT,AMERICAN ASSETS TRUST INC,156.0,0.03880376,0.0147227522828477,0.8440046252063559,14.352013435733918,-0.3464045721141973,-0.3464045721141973
2021,12513,AAT,AMERICAN ASSETS TRUST INC,168.0,0.029858338,0.0112925972795491,1.1091496167291368,14.570025030468978,0.3419573708526775,0.3419573708526775
2022,12513,AAT,AMERICAN ASSETS TRUST INC,180.0,0.039753743,0.0138225724597807,1.0694268112884786,14.451104245202112,-0.262510247833213,-0.262510247833213
2023,12513,AAT,AMERICAN ASSETS TRUST INC,192.0,0.06280094,0.0154538254594749,1.1057333123142912,14.05052499747164,-0.0925045897546943,-0.0925045897546943
2024,12513,AAT,AMERICAN ASSETS TRUST INC,204.0,0.054870766,0.0157129221980762,1.25626732727103,14.208024453255796,0.232604377049937,0.232604377049937
2011,12566,INN,SUMMIT HOTEL PROPERTIES INC,36.0,0.029793436,-0.0056909291077597,,12.468999550397989,-0.0005755979698454,-0.0005755979698454
2012,12566,INN,SUMMIT HOTEL PROPERTIES INC,48.0,0.043717057,0.0115138987478372,1.111793266838971,12.547385797795071,0.0600957482631889,0.0600957482631889
2013,12566,INN,SUMMIT HOTEL PROPERTIES INC,60.0,0.0353632,0.0110581082192042,1.008201406596941,13.42475597115187,-0.0069980664066863,-0.0069980664066863
2014,12566,INN,SUMMIT HOTEL PROPERTIES INC,72.0,0.041161224,0.0099955361670833,0.9701208456576492,13.694502112596878,0.444681714457465,0.444681714457465
2015,12566,INN,SUMMIT HOTEL PROPERTIES INC,84.0,0.036109272,0.0147643633215987,0.934090703137637,13.926633381640883,-0.0041519629356778,-0.0041519629356778
2016,12566,INN,SUMMIT HOTEL PROPERTIES INC,96.0,0.03873402,0.0178555623728179,0.949965562747969,13.920391446569807,0.3999349142524282,0.3999349142524282
2017,12566,INN,SUMMIT HOTEL PROPERTIES INC,108.0,0.036610182,0.0166232252117217,0.9795710459733727,14.29972449206219,-0.0087361541021732,-0.0087361541021732
2018,12566,INN,SUMMIT HOTEL PROPERTIES INC,120.0,0.053368762,0.0142393637589828,1.233968946184593,14.141042067485694,-0.3256265108377557,-0.3256265108377557
2019,12566,INN,SUMMIT HOTEL PROPERTIES INC,132.0,0.062086087,0.0152020331394355,1.2610242000355751,14.011688692556133,0.3495025565418594,0.3495025565418594
2020,12566,INN,SUMMIT HOTEL PROPERTIES INC,144.0,0.07921891,0.011502706553114,1.784778437085772,13.447638596111984,-0.2557218203709781,-0.2557218203709781
2021,12566,INN,SUMMIT HOTEL PROPERTIES INC,156.0,0.0018426884,-0.0079122404514621,2.1015690459181706,13.824860144549886,0.0832335689662921,0.0832335689662921
2022,12566,INN,SUMMIT HOTEL PROPERTIES INC,168.0,0.0030090343,0.0041421080017152,1.9870704610200527,13.70970468154586,-0.2529310709482554,-0.2529310709482554
2023,12566,INN,SUMMIT HOTEL PROPERTIES INC,180.0,0.026335226,0.008388857576161,1.9157137650565244,13.463128250411495,-0.0367824363816323,-0.0367824363816323
2024,12566,INN,SUMMIT HOTEL PROPERTIES INC,192.0,0.040912274,0.0083836385691182,1.9147950704872343,13.44928479828638,0.0673168915304449,0.0673168915304449
2011,12668,APTS,PREFERRED APARTMENT CMNTYS INC,24.0,,-0.1918468465102714,,10.545488525893685,-0.3391840490657725,-0.3391840490657725
2012,12668,APTS,PREFERRED APARTMENT CMNTYS INC,36.0,0.06441046,0.0042957345043569,1.4257422368816637,10.5879925444344,0.37972801551553,0.37972801551553
2013,12668,APTS,PREFERRED APARTMENT CMNTYS INC,48.0,0.053318586,0.0051983511580173,1.3299437756203467,11.075445894041552,0.1065777104114333,0.1065777104114333
2014,12668,APTS,PREFERRED APARTMENT CMNTYS INC,60.0,0.059225917,0.0018368228527055,1.1606122563568606,11.861641698423604,0.2207708680394278,0.2207708680394278
2015,12668,APTS,PREFERRED APARTMENT CMNTYS INC,72.0,0.057393175,0.0050769839582253,0.9607189780480316,12.383329612558724,0.5338705704883584,0.5338705704883584
2016,12668,APTS,PREFERRED APARTMENT CMNTYS INC,84.0,0.055272773,0.0035680608467776,0.6431025118174507,12.663224480096709,0.2082393431328451,0.2082393431328451
2017,12668,APTS,PREFERRED APARTMENT CMNTYS INC,96.0,0.046515737,0.0031304637368189,0.1833945587933019,13.138690809041274,0.4365943660041185,0.4365943660041185
2018,12668,APTS,PREFERRED APARTMENT CMNTYS INC,108.0,0.05750349,0.0039480168692693,0.1655308266533209,13.342625675404967,-0.2591018985481926,-0.2591018985481926
2019,12668,APTS,PREFERRED APARTMENT CMNTYS INC,120.0,0.067596115,0.0034819453459415,0.4055939641591915,13.370176769778146,0.0183513432777198,0.0183513432777198
2020,12668,APTS,PREFERRED APARTMENT CMNTYS INC,132.0,0.12604101,-0.0008057010646677,0.7013533429155124,12.783204160537217,-0.3774750003295567,-0.3774750003295567
2021,12668,APTS,PREFERRED APARTMENT CMNTYS INC,144.0,0.066271216,0.0002877434700943,0.999821734806302,13.23352343505254,1.0233536316810323,1.0233536316810323
2022,12668,APTS,PREFERRED APARTMENT CMNTYS INC,149.0,0.028154278,-0.0001220346954831,0.9224966959249714,14.103975858657332,0.3907192403230346,0.3907192403230346
2011,12681,STAG,STAG INDUSTRIAL INC,72.0,,0.0115225933424103,,12.148062878837877,-0.0369559235558716,-0.0369559235558716
2012,12681,STIR,STAG INDUSTRIAL INC,84.0,0.05110453,0.0093828913950115,0.6892668769110606,12.79439003854595,0.6772077324584118,0.6772077324584118
2013,12681,STIR,STAG INDUSTRIAL INC,96.0,0.04784887,0.0125375498858088,0.7014840705039048,13.691559152794891,0.2025536300527928,0.2025536300527928
2014,12681,STIR,STAG INDUSTRIAL INC,108.0,0.049560297,0.015085036394592,0.7208696094399215,14.033372283222162,0.2698990616465382,0.2698990616465382
2015,12681,STIR,STAG INDUSTRIAL INC,120.0,0.060825486,0.0141562116954693,0.7380061483948231,14.140135129196734,-0.1956233537759545,-0.1956233537759545
2016,12681,STIR,STAG INDUSTRIAL INC,132.0,0.061887432,0.0142226735157881,0.8838231359949088,14.246139237747805,0.3788249859593597,0.3788249859593597
2017,12681,STIR,STAG INDUSTRIAL INC,144.0,0.047087844,0.0151340467849794,1.009310899701916,14.667266110773369,0.2067845121389455,0.2067845121389455
2018,12681,STIR,STAG INDUSTRIAL INC,156.0,0.051463533,0.0161929054690524,1.0013096773643269,14.781725167784147,-0.0384267627741522,-0.0384267627741522
2019,12681,STIR,STAG INDUSTRIAL INC,168.0,0.043771338,0.0169458747115625,0.8526975136984997,15.121999417487524,0.3317827569521228,0.3317827569521228
2020,12681,STIR,STAG INDUSTRIAL INC,180.0,0.04632796,0.0161013258002859,0.8865460692548083,15.287100189794549,0.0422837588875062,0.0422837588875062
2021,12681,STIR,STAG INDUSTRIAL INC,192.0,0.036488198,0.0165679131230152,0.6482452569462837,15.637219548450435,0.5909929360182531,0.5909929360182531
2022,12681,STIR,STAG INDUSTRIAL INC,204.0,0.041521233,0.0164098053406317,0.7090785938035195,15.625017244897874,-0.2967479424960919,-0.2967479424960919
2023,12681,STIR,STAG INDUSTRIAL INC,216.0,0.041484375,0.016393782821771,0.7379632117796442,15.662676470458369,0.2669925296145483,0.2669925296145483
2024,12681,STIR,STAG INDUSTRIAL INC,228.0,0.03962594,0.0172566558869468,0.7747226048597788,15.726464855487803,-0.1036126917110925,-0.1036126917110925
